productNo,productName,proxyType,useType,protocol,useLimit,sellLimit,areaCode,countryCode,stateCode,cityCode,detail,costPrice,inventory,ipType,ispType,netType,duration,unit,bandWidth,bandWidthType,bandWidthPrice,maxBandWidth,flow,cpu,memory,enable,supplierCode,cidrBlocks,drawType,refundDuration,ipCount,ipDuration,assignIp,parentNo,cidrStatus,oneDay,offlineCidrBlocks,proxyEverytimeChange,proxyGlobalRandom,apiDrawGlobalRandom,ipWhiteList,pwdDrawProxyUser,proxyUserFlowLimit,flowUseLog,pwdDrawSessionRange,flowConversionBase,resetPassword,projectList,productType
mb_gnahw9ap4,ipipv,103,1,"1,2",0,0,1,CHN,CHN071,CHN071000,ipipv,23.0000,66,1,1,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""202.160.81.0\/24"",""count"":14,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""202.160.87.0\/24"",""count"":19,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""202.160.82.0\/24"",""count"":19,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""202.160.92.0\/24"",""count"":2,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""202.160.93.0\/24"",""count"":12,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""202.160.70.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""223.26.5.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""103.115.109.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""103.115.108.0\/24"",""offlineTime"":""2026-05-25 14:48:05""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gm7qaukg1,ipipv,103,1,"1,2",0,0,1,VNM,VNM000,VNM0000HI,ipipv,23.0000,248,1,1,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""103.11.199.0\/24"",""count"":15,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""116.118.43.0\/24"",""count"":5,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""203.160.135.0\/24"",""count"":87,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""103.10.46.0\/24"",""count"":141,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmyqad4b8,ipipv,103,1,"1,2",0,0,1,SGP,SGPSGP,SGPSGPSGP,ipipv,15.0000,23,1,1,2,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""95.134.247.0\/24"",""count"":23,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""176.221.17.0\/24"",""offlineTime"":""2026-05-25 14:48:06""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmhd5exsa,ipipv,103,1,"1,2",0,0,1,MYS,MYS000,MYS000000,ipipv,15.0000,0,1,1,2,30,1,5,1,0.0000,0,0,0,0,1,mb,,0,0,0,0,1,,1,1,"[{""cidr"":""154.64.141.0\/24"",""offlineTime"":""2026-05-25 14:48:07""},{""cidr"":""154.64.142.0\/24"",""offlineTime"":""2026-05-25 14:48:07""},{""cidr"":""154.64.143.0\/24"",""offlineTime"":""2026-05-25 14:48:07""},{""cidr"":""154.64.144.0\/24"",""offlineTime"":""2026-05-25 14:48:07""},{""cidr"":""154.64.145.0\/24"",""offlineTime"":""2026-05-25 14:48:07""},{""cidr"":""188.64.105.0\/24"",""offlineTime"":""2026-05-25 14:48:07""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gnfjs3kb8,ipipv,103,1,"1,2",0,0,6,USA,USA0NY,USA0NYQEE,ipipv,15.0000,1450,1,2,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""149.119.128.0\/24"",""count"":3,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.129.0\/24"",""count"":38,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.130.0\/24"",""count"":45,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.131.0\/24"",""count"":13,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.132.0\/24"",""count"":65,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.137.0\/24"",""count"":23,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.138.0\/24"",""count"":29,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.143.0\/24"",""count"":12,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.144.0\/24"",""count"":94,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.146.0\/24"",""count"":93,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.147.0\/24"",""count"":14,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.148.0\/24"",""count"":54,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.149.0\/24"",""count"":35,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.150.0\/24"",""count"":71,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.156.0\/24"",""count"":62,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.158.0\/24"",""count"":85,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.159.0\/24"",""count"":88,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.160.0\/24"",""count"":93,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.161.0\/24"",""count"":87,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.162.0\/24"",""count"":66,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.163.0\/24"",""count"":94,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.157.0\/24"",""count"":33,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.164.0\/24"",""count"":71,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.165.0\/24"",""count"":53,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.172.0\/24"",""count"":5,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.171.0\/24"",""count"":33,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""149.119.139.0\/24"",""count"":91,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""149.119.155.0\/24"",""offlineTime"":""2026-05-25 14:48:05""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmknvkagq,ipipv,103,1,"1,2",0,0,6,USA,USA0CO,USA0CODEN,ipipv,15.0000,2,1,2,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""38.248.235.0\/24"",""count"":2,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""155.254.220.0\/24"",""offlineTime"":""2026-05-25 14:48:06""},{""cidr"":""155.254.221.0\/24"",""offlineTime"":""2026-05-25 14:48:06""},{""cidr"":""155.254.223.0\/24"",""offlineTime"":""2026-05-25 14:48:06""},{""cidr"":""155.254.222.0\/24"",""offlineTime"":""2026-05-25 14:48:06""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmjr5ra7v,ipipv,103,1,"1,2",0,0,6,USA,USA0NJ,USA0NJ000,ipipv,15.0000,1428,1,2,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""38.15.4.0\/24"",""count"":130,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.5.0\/24"",""count"":63,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.6.0\/24"",""count"":113,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.7.0\/24"",""count"":133,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.8.0\/24"",""count"":134,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.9.0\/24"",""count"":129,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.10.0\/24"",""count"":110,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.12.0\/24"",""count"":134,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.13.0\/24"",""count"":128,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.15.0\/24"",""count"":121,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.16.0\/24"",""count"":119,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.15.3.0\/24"",""count"":114,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""38.248.223.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""38.248.222.0\/24"",""offlineTime"":""2026-05-25 14:48:05""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmtsxka5u,ipipv,103,1,"1,2",0,0,6,USA,USA0CA,USA0CAIRV,ipipv,15.0000,0,1,2,1,30,1,5,1,0.0000,0,0,0,0,1,mb,,0,0,0,0,1,,1,1,"[{""cidr"":""154.3.16.0\/24"",""offlineTime"":""2026-05-25 14:48:07""},{""cidr"":""154.3.19.0\/24"",""offlineTime"":""2026-05-25 14:48:07""},{""cidr"":""45.45.140.0\/24"",""offlineTime"":""2026-05-25 14:48:07""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmxaa44sn,ipipv,103,1,"1,2",0,0,6,USA,USA0WA,USA0WA000,ipipv,15.0000,669,1,2,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""154.3.20.0\/24"",""count"":100,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.3.23.0\/24"",""count"":113,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.3.24.0\/24"",""count"":113,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.3.25.0\/24"",""count"":111,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.3.26.0\/24"",""count"":113,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.45.132.0\/24"",""count"":110,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""63.161.177.0\/24"",""count"":2,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""63.161.185.0\/24"",""count"":7,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""154.64.132.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""154.64.133.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""154.64.134.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""38.93.200.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""154.3.21.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""154.3.22.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""63.161.176.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""63.161.178.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""63.161.179.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""63.161.180.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""63.161.183.0\/24"",""offlineTime"":""2026-05-25 14:48:04""},{""cidr"":""63.161.184.0\/24"",""offlineTime"":""2026-05-25 14:48:04""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmvnz8xl2,ipipv,103,1,"1,2",0,0,6,USA,USA0VT,USA0VTBTV,ipipv,15.0000,0,1,2,1,30,1,5,1,0.0000,0,0,0,0,1,mb,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
